"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
55,"三国之召唤猛将","青铜剑客","历史小说",1520053,1088,4057608,54115,8.1,"公众作品","精彩纷呈","Ａ级签约","2016/10/23 16:26","　　关公战秦琼，我看行！
???     穿越成被废的汉少帝刘辨，开始了艰难的三国历程。没地盘没兵马没人才，又有什么关系，我有超级召唤系统，历史猛将任我差遣！
???     别给我提虎牢关三英战吕布，我给你召唤个武悼天王+李存孝+李元霸的超级组合，能否一战？你要派五虎上将、五子良将一块来，寡人就放个大招，召唤个孙猴子分分钟钟给你秒成渣！什么，神话人物不能召唤？那你给我等着，劳资先去看看说明书怎么写的……
???     千年豪杰，史上猛将，会聚一堂，争锋沙场，论天下谁是英雄？
???     成王败寇，裂土封侯，强中之强，王中之王，尽在三国之召唤猛将！"
56,"深渊主宰","诸生浮屠","游戏小说",2097389,1240,2865950,91598,9.8,"公众作品","新书上传","Ａ级签约","2016/10/22 12:33","　　动荡之年。

???     混乱时空内爆发了一股可怕的能量风暴，所有的神灵都暂时失去了全部的神力，被迫以圣者的身份降临世间。这是有史以来最混乱的时期，充满着不可预知的危险与机遇，有强大的诸神陨落，也有卑微的凡人封神，无处不在的混乱厮杀波及整个多元宇宙。

???     圣者多如狗，巫妖遍地走。

???     在这前所未有的动荡时期到来之前，一个名为索伦的少年也开始了他的异界之旅。

???     欢迎大家加入书友群：308769378

???     另外，欢迎大家关注浮屠的公众号，打开微信通讯录，点击右上角的＋号，搜索“诸生浮屠”，添加即可。

???"
57,"天醒之路","蝴蝶蓝","玄幻小说",3827134,725,1645825,127440,9.9,"公众作品","连载中","Ａ级签约","2016/10/19 6:06","　　冲、鸣、气、枢、力、精、英。
???     魄之七力！
???     感知七魄，造就无数强者。
???     然而，一家不起眼的学院里，少年却面临着被驱逐的危机……"
58,"大豪门","不信天上掉馅饼","仙侠小说",5550317,629,4752399,41979,9.7,"公众作品","已经完本","Ａ级签约","2015/9/30 9:31","　　一个忽然消失得无影无踪的修真领袖宗门，到底发生了什么？
???     一位精通相术医道风水占卜的修真天才，要如何振兴这个已经彻底没落的宗门？
???     这是一个曲折的故事。
???     相信会很好看！
???     馅饼完本老书《重生之衙内》，《官家》，《绝对权力》，诸君有兴，可以去瞧瞧。
???"
59,"我的明朝生涯","千斤顶","历史小说",845547,491,1934986,6693,9.6,"公众作品","已经完本","Ａ级签约","2016/5/3 23:43","　　已经穿越到了明末的岳阳无意中打开了一扇大门，发现自己竟然又回到了那熟悉的现代社会。可是有了牵绊的他发现自己再也无法恢复以往那平静的生活了，重新回到明末的岳阳为了在若干年后不留着辫子生活，也不用逢人就自称奴才毅然举起了手中的武器和侵略者进行了一场轰轰烈烈的战争！

???     新书上传，《我的老婆是土匪》，请大家支持！"
60,"武炼巅峰","莫默","玄幻小说",6049594,2334,9932917,137071,9.6,"公众作品","精彩纷呈","Ａ级签约","2016/10/23 7:37","　　武之巅峰，是孤独，是寂寞，是漫漫求索，是高处不胜寒???     逆境中成长，绝地里求生，不屈不饶，才能堪破武之极道。???     凌霄阁试炼弟子兼扫地小厮杨开偶获一本无字黑书，从此踏上漫漫武道。
???     请关注我的公众号“莫默”。"
61,"大圣传","说梦者","仙侠小说",7814790,569,4150461,96719,9.7,"公众作品","精彩纷呈","Ａ级签约","2016/10/21 15:22","　　妖魔中的至高无上者，名为“大圣”。
???     少年走出山村，踏遍天下，一步步跨入传说中，成为神话。
???     VIP群：102407797（需全订阅）
???     普通群：128914315
???"
62,"我要做皇帝","要离刺荆轲","历史小说",1919592,2845,3867669,66600,9.7,"公众作品","新书上传","Ａ级签约","2016/10/22 23:01","　　受命于天，既寿永昌。
???     朕奋三世之余烈，用天下之大义，乃执三尺剑，以做天下王。
???     朝鲜卫氏王头已悬汉北阙。
???     南越赵氏纳土内附。
???     中央帝国，天朝上国，即将成型。
???     但这还不够！
???     朕的眼睛里，现在只有匈奴！
???     帅师伐国，北擒单于问罪于朕前！
???     ……………………………………
???     请关注微信公众号：要离刺荆轲，更多番外，更多交流，更多沟通。
???     除此之外，还有福利与彩蛋哦~"
63,"乱清","青玉狮子","历史小说",2151735,1485,3557010,28467,9.5,"公众作品","新书上传","Ａ级签约","2016/10/22 21:00","　　孤灯一盏，

???     新月高悬，

???     美人如玉，

???     万里江山。

???     一名小博物馆的兼职讲解员，经历了史上最悲催的穿越，死而后生，绝地求存，誓要凭一己之力，祸乱宫廷，颠覆王朝，开创一个全新的世代——
???     吾今欲将大笔，重写春秋，天下尚且如此，况一家一室和几个内眷乎？
???     *
???     *
???     本书已被起点精品频道收录，一天两更，不拖不欠，求收藏。"
64,"狂仙","陈风笑","仙侠小说",1418374,519,3881831,55674,9.8,"公众作品","已经完本","Ａ级签约","2016/4/12 15:20","　　职场版：一个刚进公司的新人，如何在老员工的打压下生存和发展。
???     励志版：一个离乡的小农民工，如何靠着双手适应并融入城市生活。
???     电商版：一个刚出道的小掌柜，如何在林立的店铺中打下一片天地。
???     本书是仙侠，不是都市，讲述一个从下界飞升上来的少年，靠着自己的双手，在陌生的修真界飞速崛起，拼杀出属于他的传说。
???"
65,"大神戒","兔子来了","都市小说",1344818,436,2100500,16744,9.4,"公众作品","已经完本","Ａ级签约","2016/2/1 18:22","　　当一枚可以穿梭世界的神戒从天而降，林扬表示不能淡定。
???     汉末三国，一个夜光瓶，你出价千金？一个音乐盒，你当成传家宝？笑傲江湖，射雕英雄传，倚天屠龙记，天龙八部，绝世武功，仗剑江湖！
???     倩女幽魂？仙剑奇侠传？西游记？这是要成仙的节奏？
???     风骚的人生，从林扬走进一个个世界开始。
???     咱的口号是，我是林扬，我喂自己袋盐。
???     （扣扣群，529942076。）"
66,"农家仙田","南山隐士","都市小说",1461043,1165,3423734,25104,9.1,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 22:55","　　神秘空间，偏僻山村。
???     从繁华都市回归的小农民，开启了他的传奇人生。
???     荒野庙宇，武林宗派，让平静的山林渐变喧嚣。
???     李青云说，其实我只是个农二代……
???     闲时进山打猎三五日，左牵黄，右擎苍，不胜逍遥。
???     忙时捕鱼摘瓜种果树，挥汗若雨，换得金银堆满屋。
???     此有仙田一片，任尔施为，种瓜得瓜，种豆得豆，种下天之角，收获界无疆。
???"
67,"重生潜入梦","第十个名字","都市小说",1744381,550,3735386,33114,8,"公众作品","已经完本","Ａ级签约","2015/11/11 11:45","　　我们的个性都是圆的，
???     红旗下孕育着新的生命，
???     在新时代成长的新一代。
???     生于70年代的主角，再次踏上了一条他从未走过的人生路，假如这一天来临，假如时光能倒流，在这个变革的年代里，路实在是太多了，让人眼花缭乱。
???     看着荆棘密布的不见得就难走，看着平坦的不一定是通途，路得走过才知道，我们跟着主角一起上路吧，看看他能走到哪里去。
???"
68,"帝霸","厌笔萧生","玄幻小说",4238532,2951,6264782,58419,9.7,"公众作品","新书上传","Ａ级签约","2016/10/23 9:20","　　千万年前，李七夜栽下一株翠竹。
???     八百万年前，李七夜养了一条鲤鱼。
???     五百万年前，李七夜收养一个小女孩。
???     今天，李七夜一觉醒来，翠竹修练成神灵，鲤鱼化作金龙，小女孩成为九界女帝。
???     这是一个养成的故事，一个不死的人族小子养成了妖神、养成了仙兽、养成了女帝的故事。
???     请关注作者的公众号“萧府军团”。
???"
69,"太上章","徐公子胜治","玄幻小说",1129263,667,3304615,46568,9.8,"公众作品","情节展开","Ａ级签约","2016/10/21 11:46","　　    遂古之初，谁传道之？"
70,"文艺时代","睡觉会变白","职场小说",991751,1245,2556350,81241,9.8,"公众作品","已经完本","Ａ级签约","2016/9/27 10:06","　　他曾在一个小县城中看到一个名叫小武的小偷，也曾在苏州河边见识过一条金发的美人鱼，更是在一个小村子里看过一个汉子在被砍头前学驴叫……
???     写简介无能，这大抵是一个普通青年转变成文艺青年的故事。
???     本书很墨迹~"
71,"东京道士","明月子时","仙侠小说",1450629,365,2012252,12393,9.5,"公众作品","已经完本","Ａ级签约","2016/7/18 16:10","　　天上白玉京，十二楼五城。仙人抚我顶，结发受长生。???     吕洞宾弟子重生，成为日本东京都一名十六岁的普通高中生。???     为求长生，隐身于芸芸众生之中，再度体验人间百态、滚滚红尘。???     数百年稳固的道心，究竟能否在现代大都市的灯红酒绿中不改初衷。???     亿万钱财可弃，美人之恩难舍。???     总之，这只是一个转世老鬼，在末法时代的现代大都市当中，平凡悠闲的日常。"
72,"冠军之光","林海听涛","体育小说",264065,95,4382571,4066,9.9,"公众作品","已经完本","签约作品","2015/8/27 11:45","　　【巅峰聚焦——品牌佳作，强力推荐】他是一个门外汉——“足球不能用手，笨蛋！”
???     他有远大理想——“我想踢足球赚钱！”
???     他还有点搞不清楚状况——“我会打败你的，卡卡，我一定会打败你的！”
???     一个足球菜鸟的狂言，一个山里少年的逆天之旅。
???     “他除了跑得快还有什么？”
???     “还有一颗想变强的心。”
???"
73,"梦幻香江","王梓钧","都市小说",2796948,490,2890587,15920,9.6,"公众作品","已经完本","Ａ级签约","2015/7/14 14:34","　　1979年，康剑飞游过深圳湾，踏上这片纸迷金醉的土地——
???     香港。
???     我来，我见，我征服！"
74,"帝国崛起","断刃天涯","历史小说",1648689,815,2893956,16955,9.4,"公众作品","已经完本","Ａ级签约","2016/1/1 20:09","　　时空旅行者的明末生涯，故事从天启七年末开始。"
75,"九星","果味喵","游戏小说",1052332,167,1767273,20227,9.9,"公众作品","连载中","Ａ级签约","2016/3/31 23:31","　　如果有一天，你死了。
???     你的面前有两个选项：
???     A，重生一次，B，穿越异界。
???     你，会如何选择？
???     ……
???     扬扇放歌三千里，笑引凶星入命宫！
???     一个无名刺客，身负紫金星象，腰缠万贯家财，驾临了这个妖孽而激情的时代。
???     【已有四百三十万字完结作品，质量结尾，坑品保证！】
???"
76,"大道独行","雾外江山","仙侠小说",5321276,404,5189080,49992,9.5,"公众作品","已经完本","Ａ级签约","2015/12/21 22:48","　　三千左道，八百旁门，上门一百零八，在这个修者如蚁的时代！
???     修者当手握五行，脚踏阴阳，超脱生死轮回，求索永恒大道！
???     苦修，游历，顿悟，死战，经历万劫，坚守信念，终将会当凌绝顶，一览九天渺！
???     我终于站在九天之巅，才发现孜孜以求的大道，不过是我走过的路，而这路不过才刚刚开始！
???     大道苍茫，唯我独行！
???"
